date,count,uniques
2025-09-28,75,41
2025-09-29,27,12
2025-09-30,2,2
2025-10-01,10,7
2025-10-02,1,1
2025-10-03,9,2
2025-10-04,2,2
2025-10-06,1,1
2025-10-14,1,1
2025-10-17,3,1
2025-10-20,1,1
2025-10-21,3,1
2025-10-24,10,4
2025-10-25,9,5
2025-10-26,14,8
2025-10-27,6,3
2025-10-28,8,5
2025-10-29,7,4
2025-10-30,1,1
2025-10-31,1,1
2025-11-01,3,2
2025-11-03,2,1
2025-11-11,1,1
2025-11-13,1,1
2025-11-14,1,1
2025-11-21,1,1
2025-11-22,1,1
2025-11-30,1,1
2025-12-08,1,1
2025-12-18,1,1
2025-12-20,1,1
2025-12-21,1,1
2025-12-29,2,2
2026-01-14,1,1
2026-01-19,0,0
2026-01-20,1,1
2026-01-22,2,2
2026-01-26,1,1
2026-01-27,0,0
2026-01-28,1,1
2026-01-30,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-08,0,0
2026-02-09,0,0
2026-02-10,1,1
2026-02-18,0,0
2026-03-01,1,1
2026-03-02,0,0
2026-03-03,0,0
2026-03-05,0,0
2026-03-06,0,0
2026-03-07,0,0
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,1,1
2026-03-13,0,0
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,1,1
2026-03-18,0,0
2026-03-19,0,0
2026-03-20,1,1
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,1,1
2026-03-27,0,0
2026-03-28,1,1
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,1,1
2026-04-03,2,2
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,0,0
