date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-01-11,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-13,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-15,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-21,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-25,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-27,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-01,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-07,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-08,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-12,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
