date,count,uniques
2025-02-17,1,1
2025-05-08,1,1
2025-05-21,1,1
2025-06-12,1,1
2025-06-19,1,1
2025-06-21,1,1
2025-06-30,1,1
2025-07-07,1,1
2025-07-08,1,1
2025-07-26,1,1
2025-09-04,1,1
2025-09-25,18,1
2025-10-04,1,1
2025-10-20,1,1
2025-11-03,1,1
2025-11-07,1,1
2025-11-11,1,1
2025-12-12,1,1
2025-12-17,5,1
2025-12-22,1,1
2025-12-24,1,1
2025-12-29,0,0
2025-12-30,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-04,0,0
2026-01-07,0,0
2026-01-11,0,0
2026-01-14,0,0
2026-01-21,0,0
2026-01-23,0,0
2026-01-25,0,0
2026-01-30,0,0
2026-01-31,1,1
2026-02-05,0,0
2026-02-11,1,1
2026-02-12,0,0
2026-02-13,0,0
2026-02-15,0,0
2026-02-16,0,0
2026-02-17,0,0
2026-02-19,0,0
2026-02-22,0,0
2026-02-24,0,0
2026-02-25,0,0
2026-02-28,0,0
2026-03-01,0,0
2026-03-02,0,0
2026-03-03,0,0
2026-03-05,1,1
2026-03-06,0,0
2026-03-07,1,1
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,0,0
2026-03-13,0,0
2026-03-14,0,0
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,0,0
2026-03-18,0,0
2026-03-19,0,0
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,0,0
2026-03-25,1,1
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,0,0
2026-03-30,3,1
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,0,0
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,0,0
2026-04-07,2,2
2026-04-08,0,0
2026-04-09,0,0
2026-04-10,0,0
2026-04-11,0,0
2026-04-17,0,0
2026-04-18,1,1
