date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2025-02-16,/lulunac27a/react-endless-simple-idle-game,5,3,/lulunac27a/react-endless-simple-idle-game/tree/master,3,2,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,3,2,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,2,2,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/public,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,
2025-02-17,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master,3,2,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,3,2,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,2,2,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/public,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,
2025-02-18,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master,3,2,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,3,2,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,2,2,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/public,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,
2025-02-19,/lulunac27a/react-endless-simple-idle-game,4,4,/lulunac27a/react-endless-simple-idle-game/tree/master,3,2,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,3,2,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,2,2,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/public,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,
2025-02-20,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,2,1,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,1,1,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,,,,
2025-02-21,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,2,1,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,1,1,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,,,,
2025-02-22,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,2,1,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,1,1,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,,,,
2025-02-23,/lulunac27a/react-endless-simple-idle-game,3,3,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,2,1,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,1,1,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,,,,
2025-02-24,/lulunac27a/react-endless-simple-idle-game,2,2,/lulunac27a/react-endless-simple-idle-game/tree/master/.codesandbox,2,1,/lulunac27a/react-endless-simple-idle-game/blob/master/.codesandbox/tasks.json,1,1,/lulunac27a/react-endless-simple-idle-game/blob/master/src/App.js,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master,1,1,/lulunac27a/react-endless-simple-idle-game/tree/master/src,1,1,,,,,,,,,,,,
2025-02-25,/lulunac27a/react-endless-simple-idle-game,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
